Party,User,Hashtag
PP,IkybrownUS,IkybrownUS
PP,Trek95pucela,PP
PP,Trek95pucela,PSOE
PP,newsCuenca,Cuenca
PP,Luisariam,JoseDaviid13
PP,Luisariam,JoseDaviid13
PP,JoseDaviid13,JoseDaviid13
PP,Olle_Poetah,Raudys
PP,Olle_Poetah,PoetahHere
PP,LesliiBubii,Cesarina_x3
PP,1breidyDiaz,Dime_Riannely
PP,1breidyDiaz,Dime_Breidy
PP,1breidyDiaz,Dime_Breidy
PP,1breidyDiaz,Dime_Breidy
PP,alcabodelacalle,NACIONAL
PP,2688David,SalDelBipartidismo
PP,2688David,bipartidismo
PP,2688David,PP
PP,2688David,PSOE
PP,2688David,PPSOE
PP,2688David,Elecciones
PP,2688David,Voto
PP,20Meqqa,Kuuky__Meqqa
PP,pmalvarezg,paro
PP,pmalvarezg,CIS
PP,Erasmus1989,PSOE
PP,Erasmus1989,PP
PP,Erasmus1989,Cs
PP,Erasmus1989,Equo
PP,psoegibraleon,IU
PP,psoegibraleon,Olontenses
PP,psoegibraleon,PP
PP,albeguren,PPcontraPP
PP,xavier_boronat,vilaprimilia
PP,elenalozsan,CIS
PP,merchelopez45,preferentes
PP,merchelopez45,HerenciaRecibida
PP,RosaSalvadorC,crispación
PP,AntonioLagoD,PPcontraPP
PP,TShipB,PPSOE
PP,psoemoratalla,paro
PP,psoemoratalla,empleo
PP,psoemoratalla,PP
PP,Boletus61,RajoyenlaSer
PP,Joanvimise,PPcontraPP
PP,grafaelmarcos,PPcontraPP
PP,CescaEsteve,portaveuHoms
PP,cuencanews,Cuenca
PP,mcgarciablanes,preferentes
PP,mcgarciablanes,HerenciaRecibida
PP,elcalderer,crispación
PP,IsabelAsenMu,PPcontraPP
PP,jsugrane,crispación
PP,benyobejo,Titular
PP,aferro2002cold,PP
PP,aferro2002cold,PSOE
PP,aferro2002cold,25M
PP,VicenteNadal,actualidad
PP,ummo74,PPcontraPP
PP,plazaro67,Báñez
PP,plazaro67,PSOE
PP,plazaro67,Rajoy
PP,plazaro67,PP
PP,Kerrychan5,RajoyenlaSer
PP,alexypatry28,VOTAAOTROS
PP,llemj,ÚLTIMAHORA
PP,PPguadaira,enlabuenadireccion
PP,PPguadaira,AlcaladeGuadaira
PP,mgonzalezm91,MarinaaEuropa
PP,mgonzalezm91,ElPoderdelaGente
PP,mgonzalezm91,Europeas2014
PP,mgonzalezm91,Elx
PP,AsambleaVirtuaI,PPcontraPP
PP,AmiineeMiimso,PP
PP,MKB_712_MIIZZYY,PP
PP,Best_yoel,IsaacAcosta
PP,ProyectoEuropa,Encuesta
PP,ProyectoEuropa,CIS
PP,quimaguilar,crispación
PP,Fieiro,PPSOE
PP,alexypatry28,votaaotros
PP,ManuelDevesa,PPcontraPP
PP,querolribas64,Pistas_atletismo
PP,querolribas64,Bufalà
PP,querolribas64,Badalona
PP,querolribas64,Llefià
PP,querolribas64,PP
PP,manolinvd,RajoyEnLaSER
PP,Ignacio_Mancera,hayquepararlos
PP,YezGranada,PorLaBocaMuereElPez
PP,YezGranada,PP
PP,perikito_perez,PPcontraPP
PP,NJosepm,crispación
PP,InkedCinderella,PP
PP,InmaVelascoJuez,PPcontraPP
PP,aalmodobar,EnLaBuenaDirección
PP,Aequum_es,LegalToday
PP,MaikolVital,I_Love_You
PP,Roa_X6,I_Love_You
PP,Olle_Jeffry,I_Love_You
PP,PP_DAGANZO,LíderesPSOE
PP,PP_DAGANZO,Brunete
PP,marcosrodp,PP
PP,Ignacio_Mancera,hayquepararlos
PP,mohoja,CIS
PP,antistar43,crispación
PP,humordios,Humor
PP,forrocalf,crispación
PP,AntonioNc21,PPcontraPP
PP,blader809,blader809
PP,blader809,blader809
PP,tuitEspania,galicia
PP,YORYO25MD,EleccionesEuropeas
PP,PepeAriasGz,ÉaHoraDoPobo
PP,PepeAriasGz,HaiQueParalos
PP,lomejordemadrid,TeleMadrid
PP,JordiSaez71,crispación
PP,Miira_Chulitta,JoswaBeat
PP,Edwincitooliver,JoswaBeat
PP,Pp_Fred,BuenDía
PP,NaicuilRafael,JoswaBeat
PP,elian_0,ElianThemonster
PP,elian_0,HassielBoow
PP,elian_0,ElianThemonster
PP,Jowan_1206,JoswaBeat
PP,javiparr60,CIE
PP,Kerrychan5,Votaamono
PP,LesliiBubii,JoswaBeat
PP,Jowan_1206,JoswaBeat
PP,Carlographs,TeambrianMundial
PP,Carlographs,TeambrianMundial
PP,01Alexandel,JoswaBeat
PP,Miira_Chulitta,JoswaBeat
PP,MeDicen_Dayii,JoswaBeat
PP,buscartrabajos,Plan_de_Empleo
PP,buscartrabajos,PP
PP,buscartrabajos,Valencia
PP,HectorPujols_x3,JoswaBeat
PP,NelsonBerroa_,JoswaBeat
PP,Aliciamorros,crispación
PP,Ruben_SwaGG01,JoswaBeat
PP,AileenRoblesXD,JoswaBeat
PP,Mavila93,SalDelBipartidismo
PP,Mavila93,bipartidismo
PP,Mavila93,PP
PP,Mavila93,PSOE
PP,Mavila93,PPSOE
PP,Mavila93,Elecciones
PP,Mavila93,Voto
PP,AnDyDiiaz1,AnDyDiiaz1
PP,AnDyDiiaz1,AnDyDiiaz1
PP,thenacy03,AnDyDiiaz1
PP,thenacy03,AnDyDiiaz1
PP,adoniispretty1,AnDyDiiaz1
PP,adoniispretty1,AnDyDiiaz1
PP,Aneury_Montilla,AnDyDiiaz1
PP,Aneury_Montilla,AnDyDiiaz1
PP,Aneury_Montilla,AnDyDiiaz1
PP,Aneury_Montilla,AnDyDiiaz1
PP,AnDy_x9,AnDyDiiaz1
PP,AnDy_x9,AnDyDiiaz1
PP,AnDy_x9,AnDyDiiaz1
